question,answer,image_id
what is on the left side of the wall,door,image663
what is on the left side of the shelf,microwave,image812
what are the object kept close on the shelves,books,image1040
what is the on the hanger,towel,image504
what is on the right side of the tap,cup,image653
what is the largest object,bed,image58
what is around the table,chair,image842
what is on the table,towel,image711
what color are the beds,white,image1128
what is the colour of the comforter,green,image58
what is above the microwave,basket,image560
what is the largest object,refridgerator,image575
how many windows are visible,2,image583
what is behind the clothes,door,image542
what is the object on the table,newspapers,image822
what is the object on the stool,lamp,image1029
what colors are the writings on the whiteboard,"red, black",image33
what is behind the chair,blinds,image878
what is on the left side of the stand,stool,image431
how many drawers are there,6,image668
what is beneath the stove,drawer,image796
what is on the right side of the stove,television,image877
what color is the toaster oven on the top of the cabinet,white,image139
what is in front of the bucket,paper,image817
how many monitors are there on the table,2,image605
what are the objects on the counter,"box, tissue_box, cup, bottle, plant",image123
what is the colour of the table,brown,image17
what is beneath the picture,toilet,image740
what is on the right side of the garbage bin,bag,image877
what is the largest object,stove,image145
what is the object on the floor in front of the sofa,table,image601
what is above the tap,window,image873
what is the large brown object,dresser,image66
what is on the left side of the sofa,chessboard,image430
what is on the right side of the window,picture,image589
what is on the drawer table,"book, clock",image531
what colors are the sweatshirts,"pink, blue, black, white",image99
how many doors are open,1,image578
what is the board close to the ceiling that says course book lists,sign,image108
what is the object on the floor left of the table,printer,image37
what are the objects on the sofa,"pillow, blanket",image607
what is the largest object,bed,image1022
what object is above the brown table and below the white ceiling,projector,image19
what is the object on the floor below the television,table,image643
what is the object placed in front of the wall to the right and left of the chairs,table,image20
what is the object left of the toilet,garbage_bin,image497
what is left side of the bed,night_stand,image56
what color are the bookshelves in this picture,brown,image84
what is the object between the sink and the white towel,pot,image46
what is on the left side of the wall,refridgerator,image815
how many chairs are there,2,image768
what is the object on the floor close to the shelves,stool,image105
how many doors are open,1,image8
how many lamps are there,2,image37
what is behind the left most lamp,blinds,image50
what is on the left had side in front of the curtain,shirts_in_hanger,image61
what is in front of the table,chair,image850
how many slippers are there,3,image72
what are the boards that are slanted on the counter,cutting_board,image134
how many monitors are in this picture,3,image7
what are the objects on the table,decoration_item,image1342
what is the object fitted close to the wall,projector_screen,image19
what is the object close to the counter,sink,image724
what is the object on the table,flower_pot,image1421
what color are the children tshirtsg,red,image318
what is on the left side of the sink,stand,image873
what is the object on the floor right of the dustbin,chair,image928
how many doors are there in the cupboard beneath the picture rack,2,image103
what color is the flower shaped pillow on the blue toy sofa,"purple, yellow",image325
what is on the tv stand,dvds,image163
where are the books,bookshelf,image627
what is in front of the doors,papers,image419
what is on the chair,clothes,image550
what is the round colorful object on the floor,rug,image316
what is in the laundry basket,clothes,image539
how many doors are there,1,image973
what are the clothes on the bed,jacket,image70
what is the object on the floor right of the table,trolley,image110
what is above the stove,microwave,image562
